Bracket Type=4,,,,,,,,,,,,,,,,,,,,
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Position,Inj Vol,Level,L2 Client,Comment,L4 Company,Dil Factor,ISTD Amt,L3 Laboratory,L5 Phone,Sample Vol,Sample Wt,Sample Name,L1 Study,Calibration File
Unknown,QC01_01,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,QC01_02,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,QC01_03,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,QC01_04,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,Blank_01_01,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,Blank_01_02,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,Blank_01_03,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,Blank_01_04,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,QC02_01,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,QC02_02,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,QC02_03,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,QC02_04,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,Control_01_01,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,Control_01_02,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,Control_01_03,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
Unknown,Control_01_04,,G:\UserName\PilotStudy\Polar_neg\serum\,C:\Xcalibur\methods\Nadine\Negative_70-600mz,,,0,,,,,1,0,,,0,0,,,
